vessel_id,mmsi,imo,shipname,callsign,flag_code,flag,ship_type_summary,ship_type_detail_name,length_m,width_m,dwt,grt,year_built
015730be-7250-7ddf-9b18-fbbe987cd4a9,373660000,9781748.0,SAZANKA,3FPF4,PA,Panama (Republic of),"Cargo ships, all ships of this type",Cement Carrier,110.0,18.0,5474.0,5392.0,2016.0
018abca9-1828-7b91-87aa-8e39a47851e3,636018854,9820702.0,JULIA,D5RR7,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,179.99,30.0,37449.0,22359.0,2018.0
014e4b47-de30-7934-bc85-87729beada63,563110800,9400825.0,INTERASIA MOMENTUM,9V5398,PA,Panama (Republic of),"Cargo ships, all ships of this type",Container Ship,199.92999,32.200001,33613.0,27104.0,2008.0
0180873a-7970-7b90-8543-5342f773d7eb,477719000,9102291.0,OOCL AMERICA,VRWE8,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,276.0,40.0,67100.0,66046.0,1995.0
014e46fb-05c8-7292-9f98-f6f12ce2e56b,574005100,9363144.0,HAIAN EAST,XVIV7,LR,Liberia (Republic of),Other types of ship,Other types of ship,182.46001,25.24,23840.0,18102.0,2008.0
014e46ea-b218-7cce-b92d-5c1a86c58f8a,574005610,9444950.0,ANBIEN BAY,XVKM7,PA,Panama (Republic of),"Cargo ships, all ships of this type",Container Ship,171.99001,27.6,21908.0,17515.0,2008.0
01775a9a-1b68-7a08-8c43-fcb84ca626fc,563124300,9871490.0,WAN HAI 327,9V6498,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,203.5,35.0,37160.0,30531.0,2021.0
017e785b-7a00-7e1b-9f2c-cc851cb026b0,413313910,9920978.0,HUA NAN 5,BOVQ2,CN,China (People's Republic of),"Tanker(s), all ships of this type",LPG Tanker,110.8,18.0,4545.0,4802.0,2022.0
0180873b-dce8-786f-abd5-75ac584feb15,563169900,9771652.0,INTERASIA ENHANCE,9V8378,MT,Malta,"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",Container Ship,185.99001,34.869999,37000.0,31370.0,2017.0
014e4a95-2830-7920-8d1e-5937d3b365c6,352003608,9236080.0,BREEZE 1,3E5239,CY,Cyprus (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,171.65,27.0,31773.0,19746.0,2001.0
01533f94-d1d8-718e-a296-d4d62493e460,477997030,9037501.0,NIM WAN,VRS6315,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type",Container Ship,69.0,18.0,1848.0,1746.0,1992.0
018c19f2-7bb8-7228-b008-178658031f10,352003279,9960124.0,CAPE PLEASURE,3E7450,PA,Panama (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,291.95001,45.0,181400.0,93972.0,2024.0
01808beb-3bf8-7111-8a16-5c65496752ed,574115000,9488994.0,MINH TUAN 28,3WUU,VN,Viet Nam (Socialist Republic of),"Cargo ships, all ships of this type",General Cargo,79.940002,12.62,3016.0,1599.0,2008.0
017f5414-6890-7c81-a0d7-6d52a7f30e61,477793300,9911240.0,SHANDONG DEVELOPMENT,VRUO4,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type",Bulk Carrier,300.0,50.0,207995.0,109391.0,2022.0
01925b92-a470-7047-a246-7308666a7a51,563239900,9935284.0,EVER MILD,9V7647,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,366.0,51.0,156245.0,165350.0,2024.0
01771463-c5b8-7910-8ad1-a6592b1b677a,563161700,9833010.0,WAN HAI 278,9V8084,MT,Malta,"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,172.05,28.469999,23380.0,19035.0,2021.0
018bc61c-5b08-731f-b845-145111916a8d,477928500,9958614.0,HONG RUI,VRVW5,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), all ships of this type",LPG/Chemical Tanker,99.949997,17.0,4338.0,4498.0,2023.0
01577955-87d8-705e-877e-7dee3871c9f5,538007157,9760304.0,INSPIRE,V7VU3,MH,Marshall Islands (Republic of the),"Cargo ships, all ships of this type",Container Ship,172.2,27.0,21788.0,17791.0,2016.0
014e4a7c-c600-7683-9fc6-fcae26221f8c,565132000,9248708.0,WAN HAI 313,S6AS9,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",213.0,32.200001,32893.0,27800.0,2006.0
01876e75-ddd8-7f33-9bd5-a9df3063982d,477887800,9908138.0,OOCL TURKIYE,VRVL3,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,399.98999,61.0,215000.0,237000.0,2023.0
